date,opponent,venue,rcb_score,opponent_score,result
2025-03-22,KKR,Kolkata,177,174,Win
2025-03-28,CSK,Chennai,196,146,Win
2025-04-02,GT,Bengaluru,169,170,Loss
2025-04-07,MI,Mumbai,221,209,Win
2025-04-10,DC,Bengaluru,163,169,Loss
2025-04-13,RR,Jaipur,175,173,Win
2025-04-18,PBKS,Bengaluru,95,98,Loss
2025-04-20,PBKS,Mullanpur,159,157,Win
2025-04-24,RR,Bengaluru,205,194,Win
2025-04-27,DC,Delhi,165,162,Win
2025-05-03,CSK,Bengaluru,213,211,Win
2025-05-23,SRH,Lucknow,189,231,Loss
2025-05-27,LSG,Lucknow,230,227,Win
2025-05-29,PBKS,Mullanpur,106,101,Win
2025-06-03,PBKS,Ahmedabad,190,184,Win
